"","x"
"933","Leishmanolysin OS=Leishmania infantum OX=5671 GN=GP63-4 PE=3 SV=2"
"934","LETM1_and_EF-hand_domain-containing_protein_1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290014900 PE=4 SV=1"
"935","Leucine carboxyl methyltransferase 1 OS=Leishmania infantum OX=5671 GN=LINF_360005800 PE=3 SV=1"
"936","Leucine_rich_repeat/Leucine_Rich_Repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060015500 PE=4 SV=1"
"937","Leucine_Rich_Repeat/Leucine_Rich_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280026400 PE=4 SV=1"
"938","Leucine-rich_repeat_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300006600 PE=4 SV=1"
"939","Leucine-rich_repeat_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320037600 PE=4 SV=1"
"940","Leucine-rich_repeat_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340011100 PE=4 SV=1"
"941","Leucyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=LINF_130016000 PE=3 SV=1"
"942","Long-chain-fatty-acid-CoA_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010009800 PE=4 SV=1"
"943","Long-chain-fatty-acid-CoA_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010010000 PE=4 SV=1"
"944","Long-chain-fatty-acid-CoA_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010010300 PE=4 SV=1"
"945","Long-chain-fatty-acid-CoA_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030007100 PE=4 SV=1"
"946","LSD1_zinc_finger_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310020700 PE=4 SV=1"
"947","LSM_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050010500 PE=4 SV=2"
"948","Lsm12_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350058500 PE=4 SV=1"
"949","Lsm5p_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300035600 PE=4 SV=1"
"950","Lysine--tRNA ligase OS=Leishmania infantum OX=5671 GN=LINF_150007600 PE=3 SV=1"
"951","Lysophospholipase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240024400 PE=4 SV=1"
"952","Macrophage migration inhibitory factor-like protein OS=Leishmania infantum OX=5671 GN=MIF2 PE=3 SV=1"
"953","Maf-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320016000 PE=4 SV=1"
"954","Major_Facilitator_Superfamily_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210006100 PE=4 SV=1"
"955","Major_Facilitator_Superfamily_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310012900 PE=4 SV=1"
"956","Mak10_subunit_-_NatC_N(Alpha )-terminal_acetyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_170016800 PE=3 SV=1"
"957","Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=cMDH PE=3 SV=1"
"958","Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_190012000 PE=3 SV=1"
"959","Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_340006300 PE=3 SV=2"
"960","Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_340006400 PE=3 SV=1"
"961","Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_340006500 PE=3 SV=1"
"962","Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=mMDH PE=3 SV=1"
"963","Malic enzyme OS=Leishmania infantum OX=5671 GN=LINF_240012700 PE=3 SV=1"
"964","Malic_enzyme_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240012800 PE=3 SV=1"
"965","Mannose-6-phosphate isomerase OS=Leishmania infantum OX=5671 GN=mpi PE=3 SV=1"
"966","Mannose-specific_lectin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130011600 PE=4 SV=1"
"967","MAP_kinase_kinase-like_protein OS=Leishmania infantum OX=5671 GN=LINF_350045500 PE=4 SV=1"
"968","Memo-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360017400 PE=3 SV=1"
"969","META_domain_containing_protein OS=Leishmania infantum OX=5671 GN=META2 PE=4 SV=1"
"970","META_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=META1 PE=4 SV=1"
"971","Metal-ion_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310032200 PE=4 SV=1"
"972","Metallo-beta-lactamase family-like protein OS=Leishmania infantum OX=5671 GN=LINF_210012300 PE=3 SV=1"
"973","Metallo-beta-lactamase_superfamily_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340041100 PE=3 SV=1"
"974","Metallo-peptidase_-_Clan_MA(E)_Family_M41 OS=Leishmania infantum OX=5671 GN=LINF_360035000 PE=3 SV=1"
"975","Metallo-peptidase_-_Clan_ME_-_Family_M16 OS=Leishmania infantum OX=5671 GN=LINF_010011600 PE=3 SV=1"
"976","Metallo-peptidase_-_Clan_ME_-_Family_M16 OS=Leishmania infantum OX=5671 GN=LINF_330035400 PE=4 SV=1"
"977","Metallo-peptidase_-_Clan_ME_-_Family_M16C OS=Leishmania infantum OX=5671 GN=LINF_070006000 PE=3 SV=2"
"978","Metallo-peptidase_-_Clan_MF_-_Family_M17 OS=Leishmania infantum OX=5671 GN=LINF_330034900 PE=3 SV=1"
"979","Metallo-peptidase_-_Clan_MG_-_Family_M24 OS=Leishmania infantum OX=5671 GN=LINF_190006400 PE=3 SV=1"
"980","Metallopeptidase_family_M24_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130011700 PE=3 SV=1"
"981","Metalloprotease_M41_FtsH_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320020800 PE=4 SV=2"
"982","Methenyltetrahydrofolate cyclohydrolase OS=Leishmania infantum OX=5671 GN=LINF_260008200 PE=3 SV=1"
"983","Methionine aminopeptidase 2 OS=Leishmania infantum OX=5671 GN=LINF_210014700 PE=3 SV=1"
"984","Methionine aminopeptidase OS=Leishmania infantum OX=5671 GN=LINF_190010300 PE=3 SV=1"
"985","Methionyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=LINF_210013900 PE=3 SV=1"
"986","Methylenetetrahydrofolate reductase (NAD(P)H) OS=Leishmania infantum OX=5671 GN=LINF_360075200 PE=3 SV=1"
"987","Methylmalonyl-coa epimerase-like protein OS=Leishmania infantum OX=5671 GN=LINF_260005200 PE=3 SV=1"
"988","Methylmalonyl-CoA mutase OS=Leishmania infantum OX=5671 GN=LINF_270008100 PE=3 SV=1"
"989","Methylthioribose-1-phosphate isomerase OS=Leishmania infantum OX=5671 GN=LinJ36.0740 PE=3 SV=1"
"990","Methyltransferase OS=Leishmania infantum OX=5671 GN=LINF_360031200 PE=3 SV=1"
"991","Methyltransferase_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260025300 PE=4 SV=1"
"992","Mevalonate kinase OS=Leishmania infantum OX=5671 GN=LINF_310011000 PE=3 SV=1"
"993","MFS_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030008800 PE=4 SV=1"
"994","Microtubule-binding_protein_MIP-T3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210024900 PE=4 SV=2"
"995","MIF4G domain-containing protein OS=Leishmania infantum OX=5671 GN=LINJ_10_1160 PE=4 SV=1"
"996","Mitochondrial ATP-dependent zinc metallopeptidase OS=Leishmania infantum OX=5671 GN=LINF_340016900 PE=3 SV=1"
"997","Mitochondrial carrier protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_300016100 PE=3 SV=1"
"998","Mitochondrial import inner membrane translocase subunit TIM50 OS=Leishmania infantum OX=5671 GN=LINF_350020100 PE=3 SV=1"
"999","Mitochondrial pyruvate carrier OS=Leishmania infantum OX=5671 GN=LINF_140021100 PE=3 SV=1"
"1000","Mitochondrial RNA binding protein 1 OS=Leishmania infantum OX=5671 GN=LINF_270017500 PE=4 SV=1"
"1001","Mitochondrial RNA binding protein 2 OS=Leishmania infantum OX=5671 GN=LINF_090018500 PE=4 SV=1"
"1002","Mitochondrial tryparedoxin OS=Leishmania infantum OX=5671 GN=TXN2 PE=4 SV=1"
"1003","Mitochondrial_39-S_ribosomal_protein_L47_(MRP-L47 )_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040007800 PE=3 SV=1"
"1004","Mitochondrial_associated_ribonuclease_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080008200 PE=3 SV=1"
"1005","Mitochondrial_carrier_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_020012000 PE=3 SV=1"
"1006","Mitochondrial_carrier_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180018200 PE=3 SV=1"
"1007","Mitochondrial_carrier_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190016500 PE=3 SV=1"
"1008","Mitochondrial_chaperone_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220015300 PE=4 SV=1"
"1009","Mitochondrial_glycoprotein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050013100 PE=4 SV=2"
"1010","Mitochondrial_intermediate_peptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360053800 PE=3 SV=1"
"1011","Mitochondrial_oligo_U_binding_protein_TBRGG1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300013200 PE=4 SV=1"
"1012","Mitochondrial_phosphate_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350050100 PE=3 SV=1"
"1013","Mitochondrial_processing_peptidase_-_beta_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350018700 PE=4 SV=1"
"1014","Mitochondrial_processing_peptidase_alpha_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130013600 PE=4 SV=1"
"1015","Mitochondrial_processing_peptidase_alpha_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210008800 PE=4 SV=1"
"1016","Mitochondrial_RNA_binding_complex_1_subunit OS=Leishmania infantum OX=5671 GN=LINF_330034300 PE=4 SV=1"
"1017","Mitochondrial_RNA_binding_complex_1_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210025900 PE=4 SV=1"
"1018","Mitochondrial_RNA_binding_complex_1_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250021900 PE=4 SV=1"
"1019","Mitochondrial_RNA_binding_complex_1_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330025800 PE=4 SV=1"
"1020","Mitochondrial_RNA_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310012100 PE=4 SV=1"
"1021","Mitochondrial_RNA_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330020200 PE=4 SV=1"
"1022","Mitochondrial_RNA_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=RBP38 PE=4 SV=1"
"1023","Mitochondrial_SSU_ribosomal_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240013400 PE=4 SV=2"
"1024","Mitochondrial_SSU_ribosomal_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270012300 PE=4 SV=1"
"1025","Mitogen_activated_protein_kinase_-_putative OS=Leishmania infantum OX=5671 GN=MPK11 PE=4 SV=1"
"1026","Mitogen-activated protein kinase OS=Leishmania infantum OX=5671 GN=LINF_240029400 PE=4 SV=1"
"1027","Mitogen-activated protein kinase OS=Leishmania infantum OX=5671 GN=MPK3 PE=3 SV=1"
"1028","Mitogen-activated_protein_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300034500 PE=3 SV=1"
"1029","Mitogen-activated_protein_kinase_10_-_putative OS=Leishmania infantum OX=5671 GN=LINF_100007100 PE=4 SV=1"
"1030","Mitogen-activated_protein_kinase_kinase_-_putative OS=Leishmania infantum OX=5671 GN=MKK PE=3 SV=1"
"1031","Mitogen-activated_protein_kinase_kinase_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190006300 PE=3 SV=1"
"1032","Mitotic_cyclin_-_putative OS=Leishmania infantum OX=5671 GN=CYC3 PE=3 SV=1"
"1033","MIX_protein OS=Leishmania infantum OX=5671 GN=LINF_080016900 PE=4 SV=1"
"1034","Mkiaa0324 protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_360068000 PE=4 SV=1"
"1035","Molybdopterin_guanine_dinucleotide_synthesis_protein_B_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250028800 PE=4 SV=1"
"1036","Monocarboxylate transporter-like protein OS=Leishmania infantum OX=5671 GN=LINF_050009800 PE=4 SV=1"
"1037","Monoglyceride_lipase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310017800 PE=4 SV=1"
"1038","Monothiol_glutaredoxin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350017400 PE=4 SV=1"
"1039","MORN_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_200011200 PE=4 SV=1"
"1040","MORN_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360046700 PE=4 SV=1"
"1041","MORN_repeat-containing_protein_1 OS=Leishmania infantum OX=5671 GN=LINF_300038800 PE=4 SV=1"
"1042","MRB1-associated_protein OS=Leishmania infantum OX=5671 GN=LINF_330036600 PE=4 SV=1"
"1043","mRNA (guanine-N(7)-)-methyltransferase OS=Leishmania infantum OX=5671 GN=LINF_110010500 PE=3 SV=2"
"1044","MSP_(Major_sperm_protein )_domain_containing_protein_-__putative OS=Leishmania infantum OX=5671 GN=LINF_090017900 PE=4 SV=1"
"1045","Multifunctional fusion protein OS=Leishmania infantum OX=5671 GN=LINF_030006800 PE=3 SV=1"
"1046","MYND zinc finger (ZnF) domain-like protein OS=Leishmania infantum OX=5671 GN=LINJ_05_0800 PE=4 SV=1"
"1047","MYND_finger_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310023900 PE=4 SV=1"
"1048","MYND_finger_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330031800 PE=4 SV=1"
"1049","Myosin XXI OS=Leishmania infantum OX=5671 GN=LINF_320045900 PE=3 SV=1"
"1050","N(1),N(8)-bis(glutathionyl)spermidine reductase OS=Leishmania infantum OX=5671 GN=TRYR PE=1 SV=1"
"1051","N(2)_-_N(2 )-dimethylguanosine_tRNA_methyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130014300 PE=3 SV=1"
"1052","Na/H antiporter-like protein OS=Leishmania infantum OX=5671 GN=LINF_230016100 PE=3 SV=1"
"1053","N-acetylglucosamine-6-phosphate deacetylase OS=Leishmania infantum OX=5671 GN=LINF_360005300 PE=3 SV=1"
"1054","N-acetyltransferase_B_complex_(NatB )_non_catalytic_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300010300 PE=3 SV=2"
"1055","N-acetyltransferase_subunit_Nat1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360019100 PE=4 SV=1"
"1056","NAD(P)-dependent steroid dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_060008800 PE=4 SV=1"
"1057","NAD-dependent protein deacetylase OS=Leishmania infantum OX=5671 GN=SIR2RP1 PE=1 SV=1"
"1058","NADH_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360063500 PE=4 SV=1"
"1059","NADH-cytochrome b5 reductase OS=Leishmania infantum OX=5671 GN=LINF_130015600 PE=3 SV=1"
"1060","NADH-cytochrome b5 reductase OS=Leishmania infantum OX=5671 GN=LINF_150005400 PE=3 SV=1"
"1061","NADH-cytochrome b5 reductase OS=Leishmania infantum OX=5671 GN=LINF_220013700 PE=3 SV=1"
"1062","NADH-cytochrome_b5_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220013600 PE=4 SV=1"
"1063","NADH-dependent_fumarate_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350016700 PE=4 SV=1"
"1064","NADP-dependent_alcohol_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230009000 PE=3 SV=1"
"1065","NAD-specific glutamate dehydrogenase OS=Leishmania infantum OX=5671 GN=GDH PE=3 SV=2"
"1066","Nascent polypeptide associated complex subunit-like protein, copy 2 OS=Leishmania infantum OX=5671 GN=LINJ_04_0760 PE=4 SV=1"
"1067","Nascent polypeptide-associated complex subunit beta OS=Leishmania infantum OX=5671 GN=LINF_360046600 PE=3 SV=1"
"1068","Nicotinate phosphoribosyltransferase OS=Leishmania infantum OX=5671 GN=LINF_330017000 PE=3 SV=1"
"1069","NIPSNAP_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360043200 PE=3 SV=1"
"1070","Nitrilase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260028200 PE=4 SV=1"
"1071","NLI_interacting_factor-like_phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140018500 PE=4 SV=1"
"1072","NLI_interacting_factor-like_phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350007000 PE=4 SV=1"
"1073","NmrA-like_family/NADH(P)-binding/NAD_dependent_ep imerase/dehydratase_family/3-beta_hydroxysteroid_dehydrogen ase/isomerase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340038800 PE=4 SV=1"
"1074","Noc2p_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180021700 PE=3 SV=1"
"1075","Nodulation_protein_S_(NodS )/Methyltransferase_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050016300 PE=4 SV=1"
"1076","Nodulin-like domain-containing protein OS=Leishmania infantum OX=5671 GN=LINJ_29_1600 PE=4 SV=1"
"1077","NOL1/NOP2/sun_family/FtsJ-like_methyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290033200 PE=3 SV=1"
"1078","NOL1/NOP2/sun_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360028800 PE=3 SV=1"
"1079","Not1_N-terminal_domain_-_CCR4-Not_complex_component/NOT2_/_NOT3_/_NOT5_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250025200 PE=3 SV=1"
"1080","Nrap_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180014700 PE=3 SV=2"
"1081","N-terminal_conserved_domain_of_Nudc./CS_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140009900 PE=4 SV=1"
"1082","Nuclear receptor binding factor-like protein OS=Leishmania infantum OX=5671 GN=LINF_050010300 PE=4 SV=1"
"1083","Nuclear_segregation_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320005100 PE=4 SV=1"
"1084","Nuclear_transport_factor_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_100015200 PE=4 SV=1"
"1085","Nucleolar protein 10 OS=Leishmania infantum OX=5671 GN=LINF_360008600 PE=3 SV=1"
"1086","Nucleolar_protein_56_-_putative OS=Leishmania infantum OX=5671 GN=LINF_100007300 PE=3 SV=1"
"1087","Nucleoside diphosphate kinase OS=Leishmania infantum OX=5671 GN=ndpk PE=2 SV=1"
"1088","Nucleoside phosphorylase-like protein OS=Leishmania infantum OX=5671 GN=LINF_100017200 PE=4 SV=1"
"1089","Nucleoside_2-deoxyribosyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230026500 PE=4 SV=1"
"1090","Nucleosome assembly protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_310024900 PE=3 SV=1"
"1091","Nucleosome_assembly_protein_(NAP)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_200018100 PE=3 SV=1"
"1092","Nucleosome_assembly_protein_(NAP)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290031100 PE=3 SV=1"
"1093","Nucleosome_assembly_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190009300 PE=3 SV=1"
"1094","Obg-like ATPase 1 OS=Leishmania infantum OX=5671 GN=LINF_270030700 PE=3 SV=1"
"1095","OMPdecase OS=Leishmania infantum OX=5671 GN=LINF_160010700 PE=1 SV=1"
"1096","Ornithine_decarboxylase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_120007900 PE=3 SV=1"
"1097","OSM3-like_kinesin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320012100 PE=3 SV=1"
"1098","Oxidoreductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360050900 PE=3 SV=1"
"1099","Oxidoreductase-like protein OS=Leishmania infantum OX=5671 GN=LINF_130012100 PE=4 SV=1"
"1100","p25-alpha_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340022400 PE=3 SV=1"
"1101","PAB1-binding_protein__-_putative OS=Leishmania infantum OX=5671 GN=LINF_100018400 PE=4 SV=1"
"1102","Palmitoyltransferase OS=Leishmania infantum OX=5671 GN=LINF_090012300 PE=3 SV=1"
"1103","Palmitoyltransferase OS=Leishmania infantum OX=5671 GN=LINF_130011400 PE=3 SV=1"
"1104","Paraflagellar_rod_component_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330013000 PE=4 SV=1"
"1105","Paraflagellar_rod_component_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360057300 PE=4 SV=1"
"1106","Peptidase_m20/m25/m40_family-like_protein OS=Leishmania infantum OX=5671 GN=LINF_310026700 PE=4 SV=1"
"1107","Peptidase_m20/m25/m40_family-like_protein OS=Leishmania infantum OX=5671 GN=LINF_330024500 PE=4 SV=1"
"1108","Peptidase_T_-_putative_-_metallo-peptidase_-_ClanMH_-_family_M20B OS=Leishmania infantum OX=5671 GN=LINF_170008300 PE=3 SV=1"
"1109","Peptide deformylase OS=Leishmania infantum OX=5671 GN=LINJ_04_0820 PE=3 SV=1"
"1110","Peptide-methionine (S)-S-oxide reductase OS=Leishmania infantum OX=5671 GN=LINF_070018200 PE=3 SV=1"
"1111","Peptidyl-prolyl cis-trans isomerase OS=Leishmania infantum OX=5671 GN=CYP10 PE=3 SV=1"
"1112","Peptidyl-prolyl cis-trans isomerase OS=Leishmania infantum OX=5671 GN=CYP11 PE=3 SV=1"
"1113","Peptidyl-prolyl cis-trans isomerase OS=Leishmania infantum OX=5671 GN=CYP2 PE=3 SV=1"
"1114","Peptidyl-prolyl cis-trans isomerase OS=Leishmania infantum OX=5671 GN=CYP4 PE=3 SV=1"
"1115","Peptidyl-prolyl cis-trans isomerase OS=Leishmania infantum OX=5671 GN=CYP5 PE=3 SV=1"
"1116","Peptidyl-prolyl cis-trans isomerase OS=Leishmania infantum OX=5671 GN=CYPA PE=3 SV=1"
"1117","Peptidyl-prolyl cis-trans isomerase OS=Leishmania infantum OX=5671 GN=PIN1 PE=4 SV=1"
"1118","Peptidylprolyl isomerase OS=Leishmania infantum OX=5671 GN=LINF_100015600 PE=4 SV=1"
"1119","Peptidylprolyl isomerase OS=Leishmania infantum OX=5671 GN=LINF_190021700 PE=4 SV=1"
"1120","Peptidylprolyl isomerase OS=Leishmania infantum OX=5671 GN=LINF_220020400 PE=4 SV=1"
"1121","Peptidylprolyl isomerase OS=Leishmania infantum OX=5671 GN=LINF_360007500 PE=4 SV=1"
"1122","Peroxidoxin OS=Leishmania infantum OX=5671 GN=mTXNPx PE=1 SV=1"
"1123","Peroxin-12 OS=Leishmania infantum OX=5671 GN=LINF_190017900 PE=3 SV=1"
"1124","Peroxisomal membrane protein PEX16 OS=Leishmania infantum OX=5671 GN=LINF_150016000 PE=3 SV=1"
"1125","Peroxisomal_biogenesis_factor_11_(PEX11)_-_putati ve OS=Leishmania infantum OX=5671 GN=LINF_350042300 PE=4 SV=1"
"1126","Peroxisomal_enoyl-coa_hydratase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180010800 PE=3 SV=1"
"1127","Phenylalanine-4-hydroxylase OS=Leishmania infantum OX=5671 GN=PAH PE=3 SV=1"
"1128","Phenylalanine--tRNA ligase OS=Leishmania infantum OX=5671 GN=LINF_320014300 PE=3 SV=1"
"1129","Phenylalanyl-tRNA synthetase beta subunit OS=Leishmania infantum OX=5671 GN=LINF_190015700 PE=3 SV=1"
"1130","Phosphatase_2C_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300008800 PE=4 SV=1"
"1131","Phosphatase-like protein OS=Leishmania infantum OX=5671 GN=LINF_200020900 PE=4 SV=1"
"1132","Phosphate_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280037500 PE=4 SV=1"
"1133","Phosphatidate cytidylyltransferase OS=Leishmania infantum OX=5671 GN=LINF_320035800 PE=3 SV=1"
"1134","Phosphatidylethanolamine N-methyltransferase OS=Leishmania infantum OX=5671 GN=LINF_310031100 PE=3 SV=1"
"1135","Phosphoacetylglucosamine mutase OS=Leishmania infantum OX=5671 GN=LINF_070014200 PE=3 SV=1"
"1136","Phosphodiesterase OS=Leishmania infantum OX=5671 GN=LINF_150022900 PE=3 SV=1"
"1137","Phosphodiesterase OS=Leishmania infantum OX=5671 GN=LINF_150023000 PE=3 SV=1"
"1138","Phosphodiesterase OS=Leishmania infantum OX=5671 GN=PDEA PE=3 SV=1"
"1139","Phosphoenolpyruvate carboxykinase (ATP) OS=Leishmania infantum OX=5671 GN=LINF_270024900 PE=3 SV=1"
"1140","Phosphoglucomutase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210012000 PE=3 SV=1"
"1141","Phosphoglycan beta 1,3 galactosyltransferase 5 OS=Leishmania infantum OX=5671 GN=SCG5 PE=3 SV=1"
"1142","Phosphoglycerate kinase OS=Leishmania infantum OX=5671 GN=LINF_300039500 PE=3 SV=1"
"1143","Phosphoglycerate kinase OS=Leishmania infantum OX=5671 GN=PGKB PE=3 SV=1"
"1144","Phosphoglycerate kinase OS=Leishmania infantum OX=5671 GN=PGKC PE=3 SV=1"
"1145","Phosphoglycerate mutase (2,3-diphosphoglycerate-independent) OS=Leishmania infantum OX=5671 GN=PGAM PE=3 SV=1"
"1146","Phosphoinositide-specific_phospholipase_C_-_efhand-like/Phosphatidylinositol-specific_phospholipase_C_-_X_domain/PDZ_domain_(Also_known_as_DHR_or_GLGF )/PDZ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300011700 PE=4 SV=1"
"1147","Phosphomannomutase OS=Leishmania infantum OX=5671 GN=PMM PE=3 SV=1"
"1148","Phosphomannomutase-like protein OS=Leishmania infantum OX=5671 GN=LINF_340045400 PE=3 SV=1"
"1149","Phosphomevalonate kinase OS=Leishmania infantum OX=5671 GN=LINF_150022700 PE=4 SV=1"
"1150","Phosphopantothenate--cysteine_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250025900 PE=3 SV=1"
"1151","Phosphopantothenoylcysteine_decarboxylase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300020500 PE=4 SV=1"
"1152","Phosphopyruvate hydratase OS=Leishmania infantum OX=5671 GN=ENOL PE=3 SV=1"
"1153","Phosphoribosylpyrophosphate synthetase OS=Leishmania infantum OX=5671 GN=LINF_080016200 PE=3 SV=1"
"1154","Phosphoribosylpyrophosphate_synthetase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330028000 PE=3 SV=1"
"1155","Phosphoribosylpyrophosphate_synthetase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360063600 PE=3 SV=1"
"1156","Phosphotransferase OS=Leishmania infantum OX=5671 GN=LINF_210007800 PE=3 SV=1"
"1157","Phosphotransferase_enzyme_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160006200 PE=4 SV=1"
"1158","Phytochelatin_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360036300 PE=4 SV=1"
"1159","PITH domain-containing protein OS=Leishmania infantum OX=5671 GN=LINJ.12.0002 PE=4 SV=2"
