Proteins,Eliot PAR,Clov PAR,Tato PAR,Samo PAR,Flash PAR,Gus 2 PAR, Fritz 2 PAR,Tessa 2 PAR,Fritz 1 PAR,Tessa 1 PAR,Gus 1 PAR
Alba_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130009400 PE=4 SV=1,52,52,53,49,47,65,41,58,49,44,58
Alba_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340031800 PE=4 SV=1,66,81,78,69,69,79,80,88,90,69,75
Alcohol_dehydrogenase_GroES-like_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040008000 PE=4 SV=1,1,3,2,0,1,1,2,3,1,2,2
Aldehyde dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_360061300 PE=3 SV=1,10,10,14,13,6,5,9,8,10,6,6
"Aldehyde dehydrogenase, mitochondrial OS=Leishmania infantum OX=5671 GN=ALDH2 PE=3 SV=1",115,102,157,155,119,99,147,124,169,99,113
Aldehyde_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300034400 PE=3 SV=1,21,8,7,25,16,14,21,6,22,15,24
Aldehyde_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310037500 PE=4 SV=1,2,4,5,2,8,8,4,5,3,4,3
Aldose 1-epimerase-like protein OS=Leishmania infantum OX=5671 GN=LINF_230009500 PE=4 SV=1,11,2,3,1,11,4,4,0,14,13,5
Aldose_1-epimerase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350014400 PE=4 SV=1,20,26,51,58,30,20,42,29,28,14,21
Alkyldihydroxyacetonephosphate synthase OS=Leishmania infantum OX=5671 GN=ADS1 PE=4 SV=1,35,36,31,43,37,28,52,21,42,39,24
Alpha/beta_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110014100 PE=3 SV=1,1,2,1,2,4,7,3,4,8,8,11
Alpha/beta_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130016400 PE=4 SV=1,2,1,6,3,4,5,3,4,7,5,4
Alpha/beta_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260020200 PE=4 SV=1,2,3,3,1,3,3,2,0,4,2,1
Alpha/beta_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320041500 PE=4 SV=1,1,1,2,0,0,0,0,1,0,0,0
Alpha/beta_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340049000 PE=4 SV=1,9,5,6,8,8,5,10,5,8,5,7
Alpha/beta-hydrolase-like protein OS=Leishmania infantum OX=5671 GN=LINF_010009600 PE=1 SV=1,2,4,2,5,3,2,7,2,4,2,5
Alpha-keto-acid_decarboxylase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340039400 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Ama1_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300019700 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
"Amastin, putative OS=Leishmania infantum OX=5671 GN=LINF_290019500 PE=4 SV=1",0,0,0,0,0,0,0,0,0,0,0
Amastin_surface_glycoprotein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080011600 PE=4 SV=1,5,2,6,7,7,2,6,4,0,2,3
Amastin_surface_glycoprotein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_100007600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Amastin_surface_glycoprotein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360050500 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Amastin-like protein OS=Leishmania infantum OX=5671 GN=LINF_080012950 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Amastin-like protein OS=Leishmania infantum OX=5671 GN=LINF_340016000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
"Amastin-like surface protein, putative OS=Leishmania infantum OX=5671 GN=LinJ_34_4340 PE=4 SV=1",0,0,0,0,0,0,0,0,0,0,0
Amastin-like surface protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_300014300 PE=4 SV=1,4,5,4,6,5,4,6,3,5,4,5
Amastin-like_protein OS=Leishmania infantum OX=5671 GN=LINF_340015800 PE=4 SV=1,0,0,0,0,0,0,0,0,0,2,0
Amastin-like_surface_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340023300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Amidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160019400 PE=4 SV=1,6,8,4,9,9,3,9,9,10,8,6
Amidinotransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340041600 PE=4 SV=1,17,16,15,15,16,9,20,14,16,15,14
Amidohydrolase/Amidohydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030014400 PE=4 SV=1,1,1,1,1,0,2,1,4,0,1,2
Amidohydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_200022000 PE=4 SV=1,24,28,30,27,35,36,31,30,36,44,33
Amidohydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300019400 PE=4 SV=1,38,45,39,25,38,36,31,42,39,36,26
Amidohydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310017700 PE=4 SV=1,26,48,50,15,34,15,25,25,38,47,23
Amino acid permease 3 OS=Leishmania infantum OX=5671 GN=AAP3 PE=4 SV=1,2,0,5,0,8,0,1,0,0,2,1
Amino acid permease OS=Leishmania infantum OX=5671 GN=AAT8.1 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Amino acid permease OS=Leishmania infantum OX=5671 GN=AAT8.4 PE=4 SV=2,1,0,0,7,1,1,0,0,2,0,0
Amino_acid_permease_-_putative OS=Leishmania infantum OX=5671 GN=AAT22 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Amino_acid_permease_24_-_putative OS=Leishmania infantum OX=5671 GN=AAT20.1 PE=4 SV=1,1,1,0,4,0,0,1,0,0,0,1
Amino_acid_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310008500 PE=4 SV=2,0,0,0,0,0,0,0,0,0,0,0
Amino_acid_transporter_19_-_putative OS=Leishmania infantum OX=5671 GN=AAT19 PE=4 SV=1,7,8,5,3,3,10,7,9,8,9,12
Amino_acid_transporter_aATP11_-_putative OS=Leishmania infantum OX=5671 GN=AAT1.1 PE=4 SV=1,4,2,0,10,3,1,3,1,6,3,1
Amino_acid_transporter_aATP11_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270012700 PE=4 SV=1,2,0,0,7,2,0,0,0,5,2,0
Aminoacyl-tRNA hydrolase OS=Leishmania infantum OX=5671 GN=LINJ_06_0940 PE=4 SV=1,2,1,1,1,1,2,2,1,3,0,1
Aminoacyl-tRNA_editing_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030012100 PE=4 SV=1,2,2,1,0,1,1,4,3,3,1,2
Aminomethyltransferase_folate-binding_domain /Glycine_cleavage_T-protein_C-terminal_barrel_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240023400 PE=4 SV=1,1,0,0,0,2,0,1,0,4,2,0
Aminopeptidase OS=Leishmania infantum OX=5671 GN=LINF_260008000 PE=3 SV=1,7,16,14,11,13,1,7,1,17,19,5
Aminopeptidase OS=Leishmania infantum OX=5671 GN=LINF_290030100 PE=3 SV=1,13,19,39,32,43,13,31,21,39,37,18
Aminopeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110012000 PE=3 SV=1,82,90,92,56,84,95,78,86,123,125,88
Aminopeptidase_P_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350028800 PE=3 SV=1,24,26,22,11,29,15,23,21,29,24,21
Aminopeptidase_P1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_020005300 PE=3 SV=2,9,12,9,10,6,4,14,3,14,29,11
Aminotransferase_class_IV_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340029500 PE=4 SV=1,3,0,1,2,1,5,4,6,4,1,6
AMMECR1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320011600 PE=4 SV=1,11,16,21,16,24,11,16,14,14,12,12
AMP_deaminase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130014700 PE=3 SV=2,4,4,4,10,6,4,8,3,5,5,4
AMP-activated_protein_kinase_-_gamma_regulatory_subunit OS=Leishmania infantum OX=5671 GN=LINF_350012200 PE=4 SV=1,6,16,7,21,14,9,12,10,7,11,13
AMP-binding_enzyme_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300010900 PE=4 SV=1,7,4,5,1,8,3,4,7,4,10,5
Ankyrin/TPR repeat protein OS=Leishmania infantum OX=5671 GN=LINF_240006100 PE=4 SV=1,9,7,8,8,18,12,11,10,9,8,8
Ankyrin_repeats_(3_copies)/Ankyrin_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350008200 PE=4 SV=1,0,0,2,2,2,1,2,0,0,1,1
Ankyrin_repeats_(3_copies)/Ankyrin_repeats_(Many_ copies)/Ankyrin_repeat/Alpha/beta_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160007700 PE=4 SV=1,0,2,2,6,3,1,2,1,1,2,3
Ankyrin_repeats_(3_copies)/Ankyrin_repeats_(Many_ copies)/Ankyrin_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290016900 PE=4 SV=1,6,8,6,7,8,12,4,11,5,5,9
Ankyrin_repeats_(Many_copies)/Ankyrin_repeats_(3_ copies)/Ankyrin_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280011900 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Antimony_resistance_marker_of_58_kDa OS=Leishmania infantum OX=5671 GN=LINF_340007100 PE=4 SV=1,1,2,0,0,0,0,1,0,4,1,0
AP complex subunit beta OS=Leishmania infantum OX=5671 GN=LINF_360079500 PE=3 SV=1,2,1,4,1,0,1,6,4,3,1,4
AP-1 complex subunit gamma OS=Leishmania infantum OX=5671 GN=LINF_340047500 PE=3 SV=1,6,13,8,9,13,2,11,7,5,8,8
Archaic_translocase_of_outer_membrane_12_kDa_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_100016500 PE=4 SV=2,2,2,2,3,3,0,4,1,4,3,2
Archaic_translocase_outer_mitochondrial_membrane_ 46_kDa_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280014900 PE=4 SV=1,22,8,13,25,19,13,20,19,24,11,18
Archaic_translocase_outer_mitochondrial_membrane_40_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350054200 PE=4 SV=1,16,12,15,20,24,13,20,18,24,14,15
Arginase OS=Leishmania infantum OX=5671 GN=LINF_350019900 PE=3 SV=1,36,33,39,51,54,27,57,22,48,37,35
Arginine N-methyltransferase-like protein OS=Leishmania infantum OX=5671 GN=LINF_120016900 PE=4 SV=1,4,1,2,3,6,0,4,1,1,3,1
Arginine_N-methyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030010800 PE=4 SV=1,12,13,10,11,9,5,9,4,14,15,8
Arginine_N-methyltransferase_-_type_III_-_putative OS=Leishmania infantum OX=5671 GN=PRMT7 PE=4 SV=1,5,1,1,3,0,0,1,0,8,4,0
Arginyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=LINF_270019800 PE=3 SV=1,42,30,29,41,51,58,42,53,41,24,54
Armadillo/beta-catenin-like_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320006400 PE=4 SV=1,1,4,3,1,4,0,9,2,2,2,1
ARM-like_helical_domain-containing_protein OS=Leishmania infantum OX=5671 GN=LINF_310029900 PE=4 SV=1,25,41,54,16,36,15,41,35,29,30,22
Ascorbate_peroxidase OS=Leishmania infantum OX=5671 GN=APX PE=3 SV=1,16,19,25,11,17,22,27,33,56,20,28
Asparagine--tRNA ligase OS=Leishmania infantum OX=5671 GN=LINJ_34_2110 PE=3 SV=1,21,23,22,21,26,25,28,22,33,21,26
Aspartate carbamoyltransferase OS=Leishmania infantum OX=5671 GN=LINF_160010500 PE=3 SV=1,7,6,3,10,28,33,15,23,9,2,14
Aspartate transaminase OS=Leishmania infantum OX=5671 GN=asat PE=3 SV=1,47,41,41,103,72,51,47,51,31,22,43
Aspartate transaminase OS=Leishmania infantum OX=5671 GN=LINF_240008500 PE=3 SV=1,11,8,8,9,12,8,8,10,19,7,16
Aspartate--ammonia_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260013200 PE=4 SV=1,20,15,21,13,16,17,19,17,29,15,22
Aspartyl_aminopeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290031300 PE=3 SV=1,4,4,3,3,3,12,1,10,17,7,19
Aspartyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=LINF_300009700 PE=3 SV=1,38,37,32,35,56,77,44,67,37,27,55
Associated_kinase_of_Tb14-3-3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190006200 PE=4 SV=1,0,0,2,0,0,0,0,0,0,2,0
ATG12-activating enzyme E1 ATG7 OS=Leishmania infantum OX=5671 GN=LINF_070005000 PE=3 SV=1,0,0,0,0,2,1,2,3,0,1,2
ATP binding protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_320037000 PE=3 SV=1,2,2,1,3,1,0,3,0,0,0,0
ATP pyrophosphate-lyase OS=Leishmania infantum OX=5671 GN=LINF_280005800 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
ATP pyrophosphate-lyase OS=Leishmania infantum OX=5671 GN=RAC-A PE=4 SV=1,2,0,3,0,1,0,3,7,0,0,0
ATP pyrophosphate-lyase OS=Leishmania infantum OX=5671 GN=RAC-B2 PE=4 SV=1,6,3,8,9,9,4,4,9,5,11,6
ATP synthase subunit beta OS=Leishmania infantum OX=5671 GN=LINF_250017900 PE=3 SV=1,236,220,217,279,212,278,239,279,258,240,250
ATP_synthase_-_epsilon_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300041800 PE=3 SV=1,27,29,27,27,29,23,26,31,30,30,32
ATP_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360039100 PE=3 SV=1,7,10,7,9,12,15,10,12,16,11,12
ATP_synthase_delta_(OSCP)_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360079400 PE=4 SV=1,43,40,38,53,45,57,39,62,45,45,56
ATP_synthase_F1_-_alpha_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050010000 PE=3 SV=2,150,108,122,151,129,140,137,133,149,118,149
ATP_synthase_F1_subunit_gamma_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210027500 PE=3 SV=1,62,49,56,77,60,75,56,80,66,56,68
ATP12_chaperone_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180008500 PE=3 SV=1,0,0,0,2,0,0,0,1,1,0,0
ATPase ASNA1 homolog OS=Leishmania infantum OX=5671 GN=LinJ11.0710 PE=3 SV=1,11,11,12,13,15,17,17,13,26,17,17
ATPase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050015900 PE=3 SV=1,2,2,3,3,3,3,3,3,4,4,4
ATPase_family_associated_with_various_cellular_ac tivities_(AAA)/AAA_domain_(Dynein-related_subfamily)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330019600 PE=4 SV=1,5,5,5,4,3,0,5,1,3,4,2
"ATP-binding cassette protein subfamily A, member 8 OS=Leishmania infantum OX=5671 GN=putative ABCA8 PE=4 SV=1",0,0,0,0,0,0,0,0,0,0,0
"ATP-binding cassette protein subfamily C, member 2 OS=Leishmania infantum OX=5671 GN=putative ABCC2 PE=4 SV=1",22,27,11,19,15,11,14,11,12,36,20
"ATP-binding cassette protein subfamily D, member 2 OS=Leishmania infantum OX=5671 GN=putative ABCD2 PE=4 SV=1",3,5,4,2,5,1,6,1,5,4,2
"ATP-binding cassette protein subfamily D, member 3 OS=Leishmania infantum OX=5671 GN=putative ABCD3 PE=4 SV=1",2,2,1,3,4,0,5,1,1,3,3
"ATP-binding cassette protein subfamily E, member 1 OS=Leishmania infantum OX=5671 GN=putative ABCE1 PE=4 SV=1",14,18,11,17,12,9,12,6,14,18,5
"ATP-binding cassette protein subfamily F, member 1 OS=Leishmania infantum OX=5671 GN=putative ABCF1 PE=4 SV=1",1,3,1,2,2,0,4,1,1,0,1
"ATP-binding cassette protein subfamily F, member 3 OS=Leishmania infantum OX=5671 GN=putative ABCF2 PE=4 SV=1",26,30,23,26,34,9,26,8,16,26,7
"ATP-binding cassette protein subfamily G, member 4 OS=Leishmania infantum OX=5671 GN=putative ABCG4 PE=4 SV=1",0,0,2,3,0,0,1,0,0,0,0
"ATP-binding cassette protein subfamily G, member 5 OS=Leishmania infantum OX=5671 GN=putative ABCG5 PE=4 SV=1",18,11,7,7,9,2,11,6,16,32,9
"ATP-binding cassette protein subfamily H, member 1 OS=Leishmania infantum OX=5671 GN=putative ABCH1 PE=4 SV=1",0,0,0,0,0,0,0,0,0,0,0
"ATP-binding cassette protein subfamily H, member 2 OS=Leishmania infantum OX=5671 GN=ABCH2 PE=4 SV=1",0,0,0,0,0,0,0,0,0,0,0
ATP-binding_cassette_protein_subfamily_B_-_member_2_-_putative OS=Leishmania infantum OX=5671 GN=MDR1 PE=4 SV=1,45,39,28,28,40,18,28,32,19,42,25
ATP-dependent 6-phosphofructokinase OS=Leishmania infantum OX=5671 GN=pfk PE=3 SV=1,37,46,74,43,53,61,77,63,59,57,65
"ATP-dependent Clp protease subunit, heat shock protein 100 (HSP100) OS=Leishmania infantum OX=5671 GN=LINF_290018600 PE=3 SV=1",14,11,9,11,25,27,15,22,7,11,19
"ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78) OS=Leishmania infantum OX=5671 GN=LINF_020012400 PE=4 SV=1",31,35,34,35,63,47,31,52,43,51,34
ATP-dependent_DEAD/H_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070008800 PE=4 SV=1,23,28,24,20,22,27,28,25,23,24,22
ATP-dependent_DEAD/H_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080005700 PE=3 SV=1,2,1,1,0,3,0,3,0,2,0,0
ATP-dependent_DEAD/H_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220021200 PE=4 SV=1,5,8,10,8,3,7,11,4,6,4,5
ATP-dependent_DEAD-box_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350008800 PE=3 SV=1,58,43,46,62,76,52,50,66,49,39,54
ATP-dependent_protease_ATPase_subunit_HslU OS=Leishmania infantum OX=5671 GN=hslU PE=2 SV=1,4,2,4,6,6,4,9,2,4,5,4
ATP-dependent_protease_ATPase_subunit_HslU1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150005800 PE=3 SV=1,2,5,3,3,9,2,8,2,1,1,1
ATP-dependent_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130009900 PE=4 SV=1,6,12,8,7,13,5,11,5,5,12,6
ATP-dependent_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310007700 PE=4 SV=1,11,6,14,16,11,3,14,9,9,10,9
ATP-dependent_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320009100 PE=3 SV=1,150,165,171,130,200,149,186,149,166,145,150
ATP-dependent_RNA_helicase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350036300 PE=4 SV=1,114,154,97,118,143,106,128,105,123,96,104
ATP-dependent_RNA_helicase_FAL1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280021300 PE=3 SV=1,3,3,6,1,6,8,4,6,4,2,5
ATP-dependent_zinc_metallopeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180011400 PE=3 SV=1,10,9,17,19,20,13,15,20,18,12,15
ATP-dependent_zinc_metallopeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190022300 PE=3 SV=1,9,13,11,17,14,11,15,16,15,12,11
ATP-dependent_zinc_metallopeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310012700 PE=3 SV=1,4,5,5,10,3,1,5,4,2,6,3
Autophagocytosis_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330008400 PE=4 SV=1,1,1,1,0,3,1,1,0,3,1,0
Autophagy-related protein OS=Leishmania infantum OX=5671 GN=ATG8 PE=3 SV=1,1,1,0,1,0,0,1,2,2,2,2
Autophagy-related protein OS=Leishmania infantum OX=5671 GN=ATG8B.1 PE=3 SV=1,0,4,15,0,0,17,1,83,16,0,43
Autophagy-related protein OS=Leishmania infantum OX=5671 GN=ATG8C.1 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Autophagy-related_protein_24 OS=Leishmania infantum OX=5671 GN=LINF_350029500 PE=4 SV=1,2,4,3,2,4,2,4,4,5,3,4
BCS1_N domain-containing protein (Fragment) OS=Leishmania infantum OX=5671 GN=LINJ_34_1440 PE=3 SV=1,3,1,0,2,1,1,1,0,0,0,1
Beta_eliminating_lyase_-putative OS=Leishmania infantum OX=5671 GN=LINF_010009900 PE=4 SV=1,11,16,10,12,14,13,19,8,9,10,14
Beta_propeller_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230005300 PE=4 SV=1,1,7,1,2,1,1,2,1,1,3,2
Beta-lactamase_superfamily_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130019100 PE=4 SV=1,0,0,0,0,0,0,0,0,0,2,0
Bifunctional dihydrofolate reductase-thymidylate synthase OS=Leishmania infantum OX=5671 GN=DHFR-TS PE=3 SV=1,31,26,12,37,19,11,25,6,43,23,8
Bifunctional NAD(P)H-hydrate repair enzyme OS=Leishmania infantum OX=5671 GN=LINJ_14_1270 PE=3 SV=1,3,2,5,1,1,4,7,4,9,4,4
Biotin/lipoate protein ligase-like protein OS=Leishmania infantum OX=5671 GN=LINF_310016800 PE=4 SV=1,38,34,46,32,38,30,36,37,55,35,39
BolA-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210028400 PE=3 SV=1,0,0,0,0,1,1,0,0,3,0,2
BolA-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240026600 PE=3 SV=1,0,1,0,1,3,1,1,0,3,2,2
Branch_point_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360063900 PE=4 SV=1,1,3,1,1,3,1,1,2,1,1,1
Branched-chain_amino_acid_aminotransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270027400 PE=3 SV=1,0,2,1,0,0,2,1,0,1,0,2
BRCA1_C_Terminus_(BRCT )_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350053700 PE=4 SV=1,12,14,17,16,23,18,23,20,21,16,21
BRO1-like_domain/ALIX_V-shaped_domain_binding_to_HIV_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270023300 PE=4 SV=1,12,15,8,8,12,9,10,13,12,12,16
BRO1-like_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250028500 PE=3 SV=1,1,1,0,1,3,4,0,4,0,0,3
BSD_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010005600 PE=4 SV=1,0,1,2,1,0,0,0,0,2,0,1
BT1_family/MFS/sugar_transport_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310005300 PE=3 SV=1,0,1,0,3,1,0,0,0,1,0,0
C-14_sterol_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320029600 PE=3 SV=1,3,2,5,3,3,1,1,3,2,2,3
C2_domain/Ankyrin_repeats_(3_copies )/Ankyrin_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060012700 PE=4 SV=1,3,4,1,2,3,1,4,2,6,3,1
C2_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310012500 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
C2_domain_in_Dock180_and_Zizimin_proteins_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290006000 PE=3 SV=1,14,23,15,12,8,15,16,16,13,22,23
C2_domain_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310013600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
C-5_sterol_desaturase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310011600 PE=4 SV=1,3,2,3,3,3,3,3,4,3,3,5
C-8 sterol isomerase-like protein OS=Leishmania infantum OX=5671 GN=LINF_290029100 PE=3 SV=1,4,4,6,5,5,5,3,6,4,7,4
CAAX prenyl protease OS=Leishmania infantum OX=5671 GN=LINF_270005300 PE=3 SV=1,5,3,5,5,3,6,6,2,10,2,10
Calcium/calmodulin-dependent_protein_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240023300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Calcium_channel_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340010000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Calcium_motive_p-type_ATPase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350025900 PE=4 SV=1,38,43,30,36,73,19,26,30,49,34,33
Calcium-transporting ATPase OS=Leishmania infantum OX=5671 GN=LINF_040005000 PE=3 SV=2,10,16,10,15,13,9,14,17,26,13,15
Calmodulin OS=Leishmania infantum OX=5671 GN=LINF_090015400 PE=3 SV=1,97,74,75,67,70,95,74,86,103,95,82
Calmodulin-like protein OS=Leishmania infantum OX=5671 GN=LINF_350044300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Calmodulin-like_protein_containing_EF_hand_domain OS=Leishmania infantum OX=5671 GN=LINF_090006100 PE=4 SV=1,9,8,12,3,7,6,13,6,24,8,4
Calpain-like_cysteine_peptidase_-_Clan_CA_-_family_C2 OS=Leishmania infantum OX=5671 GN=LINF_200017300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Calpain-like_cysteine_peptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140014400 PE=4 SV=1,43,53,49,39,46,65,57,55,60,47,61
Calpain-like_cysteine_peptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270010200 PE=4 SV=1,161,175,266,37,120,78,117,303,151,193,191
Calpain-like_cysteine_peptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310009200 PE=4 SV=1,15,18,30,3,12,11,10,30,12,17,20
Calreticulin OS=Leishmania infantum OX=5671 GN=LINF_310034100 PE=3 SV=1,37,49,47,60,40,34,41,31,49,46,40
Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase OS=Leishmania infantum OX=5671 GN=LINF_240005900 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Carbonic anhydrase-like protein OS=Leishmania infantum OX=5671 GN=LINF_280007600 PE=4 SV=1,1,3,1,1,1,1,3,2,2,2,3
Carboxypeptidase OS=Leishmania infantum OX=5671 GN=LINF_180009500 PE=3 SV=1,4,5,7,8,8,4,6,4,7,7,5
Carboxypeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130005800 PE=4 SV=1,109,88,171,74,107,81,78,164,49,98,107
Carboxypeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140006700 PE=4 SV=1,7,18,20,37,59,13,23,28,0,7,0
Carboxypeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330034600 PE=4 SV=1,76,51,100,91,104,63,84,76,75,57,79
Carnitine palmitoyltransferase-like protein OS=Leishmania infantum OX=5671 GN=LINF_220008100 PE=3 SV=1,0,9,4,2,1,0,13,1,2,2,1
